first name,Email ID,Quantity,Events,Attendee Status,College Unknownme,How did you come to know about this event?,how do you know about this event ?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,dummy family income,family income in lakh,Expected salary (Lakh),Leadership- skills
karuna,karuna@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2024,Gulmarg,9.1,3,0-2 Lakh,0-2 ,2,13,no 
vishal,vishal@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,Whatsapp,,Students,2023,Punch,7.8,5,0-2 Lakh,0-2 ,2,12,yes
shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Unknownvi Mumbai",Others,Others,College,Students,2024,Srinagar,8.5,7,0-2 Lakh,0-2 ,2,10,no
madhuri,madhuri@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,Email,,Students,2025,Udhampur,8.7,3,0-2 Lakh,0-2 ,2,10,no
vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Others,Others,College,Students,2025,Ballari,9.4,7,5-7 Lakh,05-Jul,7,25,no
rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,Others,College,Students,2026,Hasan,7.7,5,0-2 Lakh,0-2 ,2,9,no
somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and MaUnknowngement ,Whatsapp,Whatsapp,,Students,2023,Kolar,7.5,3,0-2 Lakh,0-2 ,2,8,yes
rahul ,rahul@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Facebook,Facebook,,Students,2025,Mysuru,7.2,5,2-5 Lakh,02-May,5,7,yes
kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2024,Thrissur,7.3,5,0-2 Lakh,0-2 ,2,16,yes
sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,Whatsapp,,Students,2025,Bhopal,9.4,3,0-2 Lakh,0-2 ,2,21,yes
sarvesh,sarvesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Dhar,6.6,4,0-2 Lakh,0-2 ,2,8,no
sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,Email,,Students,2023,Indore,6.6,5,0-2 Lakh,0-2 ,2,7,no
amit,amit@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MAUnknownGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Guna,8.5,3,0-2 Lakh,0-2 ,2,20,no
akash,akash@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Unknowngpur ",Whatsapp,Whatsapp,,Students,2025,Narwar,8.1,4,0-2 Lakh,0-2 ,2,13,no
shraddha ,shraddha@xyz.com,1,Art of Resume Building,Unknown,"Vidyalankar Institute of Technology, Mumbai",Email,Email,,Students,2025,Orchha,7.9,7,0-2 Lakh,0-2 ,2,24,no
supriya,supriya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKAUnknownNDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,Whatsapp,,Students,2024,Sagar,7.1,7,0-2 Lakh,0-2 ,2,17,no
pratiksha,pratiksha@xyz.com,1,Art of Resume Building,Unknown,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,Whatsapp,,Students,2026,Ujjain,7.7,7,0-2 Lakh,0-2 ,2,21,no
nisha,nisha@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Others,Others,College,Students,2024,Akola,6.5,7,0-2 Lakh,0-2 ,2,9,yes
rehan,rehan@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Others,Others,College,Students,2024,Aurangabad,9.4,7,0-2 Lakh,0-2 ,2,21,no 
vinit ,vinit@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",LinkedIn,LinkedIn,,Students,2025,Bhandara,6.8,5,0-2 Lakh,0-2 ,2,7,no 
ninad,ninad@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Whatsapp,Whatsapp,,Students,2023,Buldhana,9.3,5,0-2 Lakh,0-2 ,2,30,no
satish ,satish@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2024,Dhule,6.9,4,0-2 Lakh,0-2 ,2,24,no
vignesh,vignesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,Whatsapp,,Students,2026,Jalgaon,8.9,4,0-2 Lakh,0-2 ,2,8,no
dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,Whatsapp,,Students,2024,Kalyan,8.3,7,0-2 Lakh,0-2 ,2,19,yes
ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2025,Thane,7.2,4,0-2 Lakh,0-2 ,2,21,no
yash,yash@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Whatsapp,Whatsapp,,Students,2023,Navi Mumbai,8.1,7,0-2 Lakh,0-2 ,2,17,no
leah,leah@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,Email,,Students,2023,Nanded,7.5,3,0-2 Lakh,0-2 ,2,8,no
simran,simran@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Unknowngpur ",Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Kolhapur,7.9,7,0-2 Lakh,0-2 ,2,8,yes
puja,puja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,Whatsapp,,Students,2026,Karli,9.3,3,0-2 Lakh,0-2 ,2,8,yes
kapil,kapil@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Nashik,9.1,7,0-2 Lakh,0-2 ,2,24,no 
pallavi ,pallavi@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2025,Solapur,7.5,7,0-2 Lakh,0-2 ,2,9,yes
himani ,himani@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2024,Satara,7.6,7,0-2 Lakh,0-2 ,2,17,no
sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Sangola,7.2,7,0-2 Lakh,0-2 ,2,11,no
yogita,yogita@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2024,Vasai,7.1,5,0-2 Lakh,0-2 ,2,18,no
bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Whatsapp,Whatsapp,,Students,2024,Shillong,7.1,4,0-2 Lakh,0-2 ,2,12,no
shashank,shashank@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,Whatsapp,,Students,2025,Puri,9.5,7,0-2 Lakh,0-2 ,2,23,no
kajal,kajal@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,Whatsapp,,Students,2025,Patiala,9.1,4,0-2 Lakh,0-2 ,2,25,yes
aditya,aditya@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Unknownvi Mumbai",Whatsapp,Whatsapp,,Students,2025,Sangrur,6.9,7,0-2 Lakh,0-2 ,2,22,yes
pratik,pratik@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,Email,,Students,2023,Ajmer,8.4,4,7 Lakh+,7,7,6,no
sonal,sonal@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Others,Others,College,Students,2024,Amer,6.7,4,0-2 Lakh,0-2 ,2,9,no
sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",LinkedIn | Email | Cloud Counselage Website,LinkedIn ,,Students,2023,Bikaner,7.3,5,0-2 Lakh,0-2 ,2,15,yes
himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Youtube | Facebook | Instagram | Whatsapp | Email,Youtube ,,Students,2023,Jhalwar,7.6,7,0-2 Lakh,0-2 ,2,13,no
anushka,anushka@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and MaUnknowngement ,Email,Email,,Students,2025,Jodhpur,9.3,5,0-2 Lakh,0-2 ,2,11,no
aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Email,Email,,Students,2023,Sikar,6.6,3,0-2 Lakh,0-2 ,2,10,yes
darsh,darsh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Email,Email,,Students,2023,Gangtok,7.8,7,2-5 Lakh,02-May,5,10,no 
rajkumar,rajkumar@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Email | Others,Email ,College,Students,2026,Hyderbad,8.7,4,0-2 Lakh,0-2 ,2,15,no 
rushikesh ,rushikesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,Cloud Counselage Website,,Students,2025,Nizambad,7.2,7,0-2 Lakh,0-2 ,2,12,yes
mona ,mona@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MAUnknownGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,Whatsapp,,Students,2024,Agra,8,7,0-2 Lakh,0-2 ,2,21,no
aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Email,Email,,Students,2023,Ghazipur,9.1,3,0-2 Lakh,0-2 ,2,8,yes
vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Email,Email,,Students,2024,Gonda,8.7,7,0-2 Lakh,0-2 ,2,21,no
swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,Whatsapp,,Students,2024,Gorakhpur,6.5,3,0-2 Lakh,0-2 ,2,5,no
manish,manish@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,Whatsapp,,Students,2025,Hamirpur,8.8,5,0-2 Lakh,0-2 ,2,16,no
sanket,sanket@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Email,Email,,Students,2024,Mathura,9.2,5,0-2 Lakh,0-2 ,2,13,yes
abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,Email,,Students,2023,Almora,7.1,7,0-2 Lakh,0-2 ,2,11,no
priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Others,Others,College,Students,2023,Hugli,9.3,5,0-2 Lakh,0-2 ,2,8,no
pramod,pramod@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,Whatsapp,,Students,2025,Siliguri,8.3,4,0-2 Lakh,0-2 ,2,24,yes
samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Others,Others,College,Students,2023,Silguri,7.4,3,0-2 Lakh,0-2 ,2,8,no 
rucha,rucha@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,Whatsapp,,Students,2026,Siuri,6.7,3,0-2 Lakh,0-2 ,2,19,no 
darshan ,darshan@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,Whatsapp,,Students,2025,Talmuk,9.7,7,0-2 Lakh,0-2 ,2,17,yes
ankita,ankita@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2024,Siuri,7.9,7,0-2 Lakh,0-2 ,2,18,no
ritik ,ritik@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,Email,,Students,2023,Orchha,7.1,4,0-2 Lakh,0-2 ,2,8,no
snehal,snehal@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,Whatsapp,,Students,2025,Sagar,8.7,4,0-2 Lakh,0-2 ,2,8,yes
vedant,vedant@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Whatsapp,Whatsapp,,Students,2024,Satna,8.7,7,0-2 Lakh,0-2 ,2,8,no
philip,philip@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,Email,,Students,2026,Vidisha,6.8,5,0-2 Lakh,0-2 ,2,6,no
riya,riya@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Unknowngpur ",Email,Email,,Students,2023,Aurangabad,8.5,3,0-2 Lakh,0-2 ,2,7,no
payal ,payal@xyz.com,1,Art of Resume Building,Attending,Unknown,Email,Email,,Students,2023,Mumbai,7.4,5,0-2 Lakh,0-2 ,2,8,yes
akanksha,akanksha@xyz.com,1,Art of Resume Building,Attending,Unknown,Email,Email,,Students,2023,Nagpur,7.3,5,0-2 Lakh,0-2 ,2,11,no
ajinkya,ajinkya@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2025,Amritsar,7.8,3,0-2 Lakh,0-2 ,2,7,no
sapana,sapana@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,Whatsapp,,Students,2024,Patiala,7.9,7,0-2 Lakh,0-2 ,2,9,no
mahesh,mahesh@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MAUnknownGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Email,Email,,Students,2023,Amer,9.5,4,0-2 Lakh,0-2 ,2,9,no 
louis,louis@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Facebook,Facebook,,Students,2023,Junagadh,6.3,4,0-2 Lakh,0-2 ,2,6,no 
manisha,manisha@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2026,Kheda,8.9,4,0-2 Lakh,0-2 ,2,8,no 
parag,parag@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Cloud Counselage Website,Cloud Counselage Website,,Students,2024,Nadiad,8.5,4,0-2 Lakh,0-2 ,2,5,yes
dhanashri,dhanashri@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp | Email,Whatsapp ,,Students,2023,Okha,8.8,4,0-2 Lakh,0-2 ,2,23,no
raghav,raghav@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,Whatsapp,,Students,2025,Valsad,8.3,5,0-2 Lakh,0-2 ,2,5,no
sharvari,sharvari@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,Whatsapp,,Students,2024,Faridabad,7.7,4,0-2 Lakh,0-2 ,2,18,no
tejas,tejas@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,Whatsapp,,Students,2025,Jind,7.9,5,0-2 Lakh,0-2 ,2,8,yes
amey,amey@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,Whatsapp,,Students,2024,Agra,7.6,5,0-2 Lakh,0-2 ,2,13,yes
monika,monika@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Youtube,Youtube,,Students,2024,Budaun,7.5,5,0-2 Lakh,0-2 ,2,7,no
gouri,gouri@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Cloud Counselage Website,Cloud Counselage Website,,Students,2023,Mainpuri,6.7,5,0-2 Lakh,0-2 ,2,6,yes
siddhesh,siddhesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,Whatsapp,,Students,2024,Haora,7.2,7,0-2 Lakh,0-2 ,2,17,no
sayali,sayali@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHIUnknownGAR,Others,Others,College,Students,2024,Malda,9.5,4,0-2 Lakh,0-2 ,2,12,no
